Date,State,Civilian noninstitutional population,Total,Percent of Population,Employed Total,Employed Percent of Population,Unemployed Total,Unemployed Percent of Labor Force
8/1/21,Kansas,2240663,1515213,67.6,1457261,65,57952,3.8
8/1/21,Kentucky,3518922,1985736,56.4,1900726,54,85010,4.3
8/1/21,Louisiana,3574693,2065886,57.8,1937566,54.2,128320,6.2
8/1/21,Maine,1124006,677717,60.3,644491,57.3,33226,4.9
8/1/21,Maryland,4772633,3142393,65.8,2954396,61.9,187997,6
8/1/21,Massachusetts,5642135,3709495,65.7,3524102,62.5,185393,5
8/1/21,Michigan,7994128,4726020,59.1,4502135,56.3,223885,4.7
8/1/21,Minnesota,4469787,3030629,67.8,2915708,65.2,114921,3.8
8/1/21,Mississippi,2286002,1277882,55.9,1200747,52.5,77135,6
8/1/21,Missouri,4856108,3072693,63.3,2949591,60.7,123102,4
8/1/21,Montana,872802,540678,61.9,521540,59.8,19138,3.5
8/1/21,Nebraska,1494315,1021905,68.4,999546,66.9,22359,2.2
8/1/21,Nevada,2532034,1571422,62.1,1450939,57.3,120483,7.7
8/1/21,New Hampshire,1137455,750901,66,728716,64.1,22185,3
8/1/21,New Jersey,7067634,4430209,62.7,4110436,58.2,319773,7.2
8/1/21,New Mexico,1665450,953740,57.3,884958,53.1,68782,7.2
8/1/21,New York,22047781,13335933,60.5,12237906,55.5,1098027,8.2
8/1/21,North Carolina,8472154,5011471,59.2,4794897,56.6,216574,4.3
8/1/21,North Dakota,586702,401898,68.5,387329,66,14569,3.6
8/1/21,Ohio,9266780,5638328,60.8,5333351,57.6,304977,5.4
8/1/21,Oklahoma,3076994,1862553,60.5,1801999,58.6,60554,3.3
8/1/21,Oregon,3474754,2170411,62.5,2062899,59.4,107512,5
8/1/21,Pennsylvania,10271604,6293200,61.3,5888485,57.3,404715,6.4
8/1/21,Rhode Island,864275,534673,61.9,503786,58.3,30887,5.8
8/1/21,South Carolina,4198972,2404401,57.3,2302920,54.8,101481,4.2
8/1/21,South Dakota,685502,471280,68.7,457633,66.8,13647,2.9
8/1/21,Tennessee,5503407,3333192,60.6,3178886,57.8,154306,4.6
8/1/21,Texas,22672578,14127472,62.3,13291774,58.6,835698,5.9
8/1/21,Utah,2455273,1667686,67.9,1625161,66.2,42525,2.5
8/1/21,Vermont,519037,317426,61.2,307773,59.3,9653,3
8/1/21,Virginia,6755024,4248055,62.9,4079663,60.4,168392,4
8/1/21,Washington,6175064,3922962,63.5,3724144,60.3,198818,5.1
8/1/21,West Virginia,1436288,792740,55.2,754619,52.5,38121,4.8
8/1/21,Wisconsin,4674878,3109998,66.5,2987366,63.9,122632,3.9
8/1/21,Wyoming,458056,294747,64.3,280237,61.2,14510,4.9
9/1/21,Alabama,3901964,2207637,56.6,2139093,54.8,68544,3.1
9/1/21,Alaska,544093,349238,64.2,327231,60.1,22007,6.3
9/1/21,Arizona,6022140,3644010,60.5,3434885,57,209125,5.7
9/1/21,Arkansas,2375107,1358010,57.2,1303751,54.9,54259,4
9/1/21,California,39078979,24099279,61.7,22179718,56.8,1919561,8.0
9/1/21,Colorado,4683656,3192317,68.2,3013519,64.3,178798,5.6
9/1/21,Connecticut,2875865,1812136,63,1688761,58.7,123375,6.8
9/1/21,Delaware,802845,488797,60.9,462724,57.6,26073,5.3
9/1/21,District of Columbia,585345,410752,70.2,384041,65.6,26711,6.5
9/1/21,Florida,17887845,10593005,59.2,10075984,56.3,517021,4.9
9/1/21,Georgia,8402313,5168175,61.5,5000347,59.5,167828,3.2
9/1/21,Hawaii,1078919,646827,60,603845,56,42982,6.6
9/1/21,Idaho,1451879,906191,62.4,880283,60.6,25908,2.9
9/1/21,Illinois,9904709,6223034,62.8,5801323,58.6,421711,6.8
