Eligibility End Date,Province/Territory,Number of Applications,Total Gross Amount ($000)
May-21,British Columbia,143580,143580
May-21,Yukon,980,980
May-21,Northwest Territories,1390,1390
May-21,Nunavut,920,920
May-21,Outside Canada,230,230
Jun-21,Newfoundland and Labrador,10500,10500
Jun-21,Prince Edward Island,2520,2520
Jun-21,Nova Scotia,25520,25520
Jun-21,New Brunswick,13950,13950
Jun-21,Quebec,159380,159380
Jun-21,Ontario,540310,540310
Jun-21,Manitoba,31270,31270
Jun-21,Saskatchewan,26170,26170
Jun-21,Alberta,144200,144200
Jun-21,British Columbia,139070,139070
Jun-21,Yukon,960,960
Jun-21,Northwest Territories,1370,1370
Jun-21,Nunavut,960,960
Jun-21,Outside Canada,240,240
Jun-21,Newfoundland and Labrador,10010,10010
Jun-21,Prince Edward Island,2430,2430
Jun-21,Nova Scotia,22580,22580
Jun-21,New Brunswick,13480,13480
Jun-21,Quebec,153340,153340
Jun-21,Ontario,520560,520560
Jun-21,Manitoba,30330,30330
Jun-21,Saskatchewan,25500,25500
Jun-21,Alberta,136260,136260
Jun-21,British Columbia,135190,135190
Jun-21,Yukon,950,950
Jun-21,Northwest Territories,1290,1290
Jun-21,Nunavut,950,950
Jun-21,Outside Canada,230,230
Jul-21,Newfoundland and Labrador,9520,9520
Jul-21,Prince Edward Island,2320,2320
Jul-21,Nova Scotia,20990,20990
Jul-21,New Brunswick,13020,13020
Jul-21,Quebec,147030,147030
Jul-21,Ontario,494840,494840
Jul-21,Manitoba,28700,28700
Jul-21,Saskatchewan,24760,24760
Jul-21,Alberta,129990,129990
Jul-21,British Columbia,129880,129880
Jul-21,Yukon,910,910
Jul-21,Northwest Territories,1240,1240
Jul-21,Nunavut,940,940
Jul-21,Outside Canada,220,220
Jul-21,Newfoundland and Labrador,9220,9220
Jul-21,Prince Edward Island,2230,2230
Jul-21,Nova Scotia,20180,20180
Jul-21,New Brunswick,12650,12650
Jul-21,Quebec,142640,142640
Jul-21,Ontario,466090,466090
Jul-21,Manitoba,27020,27020
Jul-21,Saskatchewan,23990,23990
Jul-21,Alberta,124860,124860
Jul-21,British Columbia,125330,125330
Jul-21,Yukon,870,870
Jul-21,Northwest Territories,1190,1190
Jul-21,Nunavut,940,940
Jul-21,Outside Canada,200,200
Jul-21,Newfoundland and Labrador,8600,7110
Jul-21,Prince Edward Island,2070,1710
Jul-21,Nova Scotia,18970,16000
Jul-21,New Brunswick,12030,10000
Jul-21,Quebec,136400,114400
Jul-21,Ontario,440000,369180
Jul-21,Manitoba,25830,22380
Jul-21,Saskatchewan,22920,19840
Jul-21,Alberta,117590,100200
Jul-21,British Columbia,118710,99950
Jul-21,Yukon,810,720
Jul-21,Northwest Territories,1180,1040
Jul-21,Nunavut,930,860
Jul-21,Outside Canada,170,160
Aug-21,Newfoundland and Labrador,7730,6070
Aug-21,Prince Edward Island,1840,1440
Aug-21,Nova Scotia,16910,13620
Aug-21,New Brunswick,10850,8550
Aug-21,Quebec,119250,94600
Aug-21,Ontario,377040,300100
Aug-21,Manitoba,22390,18390
Aug-21,Saskatchewan,20100,16470
Aug-21,Alberta,101720,82190
Aug-21,British Columbia,100820,80420
Aug-21,Yukon,690,580
Aug-21,Northwest Territories,1020,860
Aug-21,Nunavut,750,670
Aug-21,Outside Canada,150,130
,,,
 ,,,
