Key,date,Jurisdiction_Abbrev,Jurisdiction_Full,Country,Monthly_new_case,Monthly_new_death
44136Alberta,11/1/2020,AB,Alberta,Canada,29932,218
44166Alberta,12/1/2020,AB,Alberta,Canada,43451,505
44197Alberta,1/1/2021,AB,Alberta,Canada,22580,593
44228Alberta,2/1/2021,AB,Alberta,Canada,9296,247
44256Alberta,3/1/2021,AB,Alberta,Canada,14828,104
44287Alberta,4/1/2021,AB,Alberta,Canada,42402,92
44317Alberta,5/1/2021,AB,Alberta,Canada,36775,145
44348Alberta,6/1/2021,AB,Alberta,Canada,4478,74
44378Alberta,7/1/2021,AB,Alberta,Canada,2548,23
44409Alberta,8/1/2021,AB,Alberta,Canada,18395,51
44440Alberta,9/1/2021,AB,Alberta,Canada,45242,342
44470Alberta,10/1/2021,AB,Alberta,Canada,25685,376
44501Alberta,11/1/2021,AB,Alberta,Canada,7357,116
43831British Columbia,1/1/2020,BC,British Columbia,Canada,1,0
43862British Columbia,2/1/2020,BC,British Columbia,Canada,6,0
43891British Columbia,3/1/2020,BC,British Columbia,Canada,963,19
43922British Columbia,4/1/2020,BC,British Columbia,Canada,1142,92
43952British Columbia,5/1/2020,BC,British Columbia,Canada,461,53
43983British Columbia,6/1/2020,BC,British Columbia,Canada,343,10
44013British Columbia,7/1/2020,BC,British Columbia,Canada,725,21
44044British Columbia,8/1/2020,BC,British Columbia,Canada,2149,13
44075British Columbia,9/1/2020,BC,British Columbia,Canada,3348,26
44105British Columbia,10/1/2020,BC,British Columbia,Canada,5595,29
44136British Columbia,11/1/2020,BC,British Columbia,Canada,18505,178
44166British Columbia,12/1/2020,BC,British Columbia,Canada,18752,460
44197British Columbia,1/1/2021,BC,British Columbia,Canada,15670,288
44228British Columbia,2/1/2021,BC,British Columbia,Canada,12794,166
44256British Columbia,3/1/2021,BC,British Columbia,Canada,19594,103
44287British Columbia,4/1/2021,BC,British Columbia,Canada,29434,123
44317British Columbia,5/1/2021,BC,British Columbia,Canada,14807,122
44348British Columbia,6/1/2021,BC,British Columbia,Canada,3332,51
44378British Columbia,7/1/2021,BC,British Columbia,Canada,2428,17
44409British Columbia,8/1/2021,BC,British Columbia,Canada,16019,45
44440British Columbia,9/1/2021,BC,British Columbia,Canada,20912,146
44470British Columbia,10/1/2021,BC,British Columbia,Canada,18972,194
44501British Columbia,11/1/2021,BC,British Columbia,Canada,8198,134
43891Yukon,3/1/2020,YT,Yukon,Canada,5,0
43922Yukon,4/1/2020,YT,Yukon,Canada,6,0
43952Yukon,5/1/2020,YT,Yukon,Canada,0,0
43983Yukon,6/1/2020,YT,Yukon,Canada,0,0
44013Yukon,7/1/2020,YT,Yukon,Canada,3,0
44044Yukon,8/1/2020,YT,Yukon,Canada,1,0
44075Yukon,9/1/2020,YT,Yukon,Canada,0,0
44105Yukon,10/1/2020,YT,Yukon,Canada,8,1
44136Yukon,11/1/2020,YT,Yukon,Canada,24,0
44166Yukon,12/1/2020,YT,Yukon,Canada,13,0
44197Yukon,1/1/2021,YT,Yukon,Canada,10,0
44228Yukon,2/1/2021,YT,Yukon,Canada,2,0
44256Yukon,3/1/2021,YT,Yukon,Canada,2,0
44287Yukon,4/1/2021,YT,Yukon,Canada,7,1
44317Yukon,5/1/2021,YT,Yukon,Canada,3,0
44348Yukon,6/1/2021,YT,Yukon,Canada,258,3
44378Yukon,7/1/2021,YT,Yukon,Canada,254,2
44409Yukon,8/1/2021,YT,Yukon,Canada,93,1
44440Yukon,9/1/2021,YT,Yukon,Canada,66,1
44470Yukon,10/1/2021,YT,Yukon,Canada,166,1
44501Yukon,11/1/2021,YT,Yukon,Canada,428,2
43891Northwest Territories,3/1/2020,NT,Northwest Territories,Canada,1,0
43922Northwest Territories,4/1/2020,NT,Northwest Territories,Canada,4,0
43952Northwest Territories,5/1/2020,NT,Northwest Territories,Canada,0,0
43983Northwest Territories,6/1/2020,NT,Northwest Territories,Canada,0,0
44013Northwest Territories,7/1/2020,NT,Northwest Territories,Canada,0,0
44044Northwest Territories,8/1/2020,NT,Northwest Territories,Canada,0,0
44075Northwest Territories,9/1/2020,NT,Northwest Territories,Canada,0,0
44105Northwest Territories,10/1/2020,NT,Northwest Territories,Canada,5,0
44136Northwest Territories,11/1/2020,NT,Northwest Territories,Canada,5,0
44166Northwest Territories,12/1/2020,NT,Northwest Territories,Canada,9,0
44197Northwest Territories,1/1/2021,NT,Northwest Territories,Canada,7,0
44228Northwest Territories,2/1/2021,NT,Northwest Territories,Canada,11,0
44256Northwest Territories,3/1/2021,NT,Northwest Territories,Canada,0,0
44287Northwest Territories,4/1/2021,NT,Northwest Territories,Canada,9,0
44317Northwest Territories,5/1/2021,NT,Northwest Territories,Canada,77,0
44348Northwest Territories,6/1/2021,NT,Northwest Territories,Canada,0,0
44378Northwest Territories,7/1/2021,NT,Northwest Territories,Canada,0,0
44409Northwest Territories,8/1/2021,NT,Northwest Territories,Canada,324,1
44440Northwest Territories,9/1/2021,NT,Northwest Territories,Canada,607,5
44470Northwest Territories,10/1/2021,NT,Northwest Territories,Canada,804,5
44501Northwest Territories,11/1/2021,NT,Northwest Territories,Canada,169,1
43891Nunavut,3/1/2020,NU,Nunavut,Canada,0,0
43922Nunavut,4/1/2020,NU,Nunavut,Canada,0,0
43952Nunavut,5/1/2020,NU,Nunavut,Canada,0,0
43983Nunavut,6/1/2020,NU,Nunavut,Canada,0,0
44013Nunavut,7/1/2020,NU,Nunavut,Canada,0,0
44044Nunavut,8/1/2020,NU,Nunavut,Canada,0,0
44075Nunavut,9/1/2020,NU,Nunavut,Canada,0,0
44105Nunavut,10/1/2020,NU,Nunavut,Canada,0,0
44136Nunavut,11/1/2020,NU,Nunavut,Canada,181,0
44166Nunavut,12/1/2020,NU,Nunavut,Canada,85,1
44197Nunavut,1/1/2021,NU,Nunavut,Canada,28,0
44228Nunavut,2/1/2021,NU,Nunavut,Canada,63,0
44256Nunavut,3/1/2021,NU,Nunavut,Canada,38,3
44287Nunavut,4/1/2021,NU,Nunavut,Canada,106,0
44317Nunavut,5/1/2021,NU,Nunavut,Canada,147,0
44348Nunavut,6/1/2021,NU,Nunavut,Canada,9,0
44378Nunavut,7/1/2021,NU,Nunavut,Canada,0,0
44409Nunavut,8/1/2021,NU,Nunavut,Canada,0,0
44440Nunavut,9/1/2021,NU,Nunavut,Canada,7,0
44470Nunavut,10/1/2021,NU,Nunavut,Canada,10,0
44501Nunavut,11/1/2021,NU,Nunavut,Canada,0,0
